Section	Account Type	Detail Type	
Asset	Cash And Cash Equivalents	Bank	
Asset	Cash And Cash Equivalents	Cash And Cash Equivalents	
Asset	Cash And Cash Equivalents	Cash On Hand	
Asset	Cash And Cash Equivalents	Client Trust Account	
Asset	Cash And Cash Equivalents	Money Market	
Asset	Cash And Cash Equivalents	Rents Held In Trust	
Asset	Cash And Cash Equivalents	Savings	
Asset	Accounts Receivable (A/R)	Accounts Receivable (A/R)	
Asset	Current Assets	Allowance For Bad Debts	
Asset	Current Assets	Assets Available For Sale	
Asset	Current Assets	Development Costs	
Asset	Current Assets	Employee Cash Advances	
Asset	Current Assets	Inventory	
Asset	Current Assets	Investments - Other	
Asset	Current Assets	Loans To Officers	
Asset	Current Assets	Loans To Others	
Asset	Current Assets	Loans To Shareholders	
Asset	Current Assets	Other Current Assets	
Asset	Current Assets	Prepaid Expenses	
Asset	Current Assets	Retainage	
Asset	Current Assets	Undeposited Funds	
Asset	Fixed Assets	Accumulated Depletion	
Asset	Fixed Assets	"Accumulated Depreciation On Property, Plant And Equipment"	
Asset	Fixed Assets	Buildings	
Asset	Fixed Assets	Depletable Assets	
Asset	Fixed Assets	Furniture And Fixtures	
Asset	Fixed Assets	Land	
Asset	Fixed Assets	Leasehold Improvements	
Asset	Fixed Assets	Machinery And Equipment	
Asset	Fixed Assets	Other Fixed Assets	
Asset	Fixed Assets	Vehicles	
Asset	Non-Current Assets	Accumulated Amortisation Of Non-Current Assets	
Asset	Non-Current Assets	Assets Held For Sale	
Asset	Non-Current Assets	Deferred Tax	
Asset	Non-Current Assets	Goodwill	
Asset	Non-Current Assets	Intangible Assets	
Asset	Non-Current Assets	Lease Buyout	
Asset	Non-Current Assets	Licenses	
Asset	Non-Current Assets	Long-Term Investments	
Asset	Non-Current Assets	Organisational Costs	
Asset	Non-Current Assets	Other Non-Current Assets	
Asset	Non-Current Assets	Security Deposits	
Liability	Credit Card	Credit Card	
Liability	Accounts Payable (A/P)	Accounts Payable (A/P)	
Liability	Current Liabilities	Accrued Liabilities	
Liability	Current Liabilities	Client Trust Accounts - Liabilities	
Liability	Current Liabilities	Current Tax Liability	
Liability	Current Liabilities	Current Portion Of Obligations Under Finance Leases	
